Field Name,Field Description,Added to Output by Function __
RWID,RefWorks ID for the reference,
doi,DOI for the reference,
pmid,PMID for the reference,
name_bibtex,First author + publication date of reference,
ID ,ID of the factor,
AMR,Antimicrobial involved,
factor_title,Factor title,
factor_description,Factor description,
host_01,"Host involved (i.e. cattle, swine)",
host_02,"Specific host involved (i.e. dairy cows, beef calves)",
microbe_01,"Microbe genus involved (i.e. Escherichia, Salmonella)",
microbe_02,"Microbe species involved (i.e. coli, spp.)",
stage_allocate,Stage of production at which the intervention to the exposed group is made in the study,
stage_observe,Stage of production at which the intervention's effect is measured in the study,
group_exposed,Description of the exposed group,
group_referent,Description of the referent group,
res_format,"Set of result fields available in the study (i.e. Contingency Table, Rate Table)",
res_unit,"Unit to which the results apply (i.e. flock, isolate, pooled isolate)",
A ,Contingency Table: # AMR+ in exposed group,
B,Contingency Table: # AMR- in exposed group,
C ,Contingency Table: # AMR+ in referent group,
D ,Contingency Table: # AMR- in referent group,
P ,Rate Table: % AMR+ in exposed group,
R,Rate Table: % AMR- in exposed group,
Q,Rate Table: % AMR+ in referent group,
S,Rate Table: % AMR- in referent group,
nexp,Total # in exposed group,
nref,Total # in referent group,
odds,Odds Ratio: Odds ratio value for the factor,
oddslo,Odds Ratio: Lower confidence interval,
oddsup,Odds Ratio: Upper confidence interval,
oddsig,Odds Ratio: Significance value (p-value),
ID_meta,Meta-analysis group ID (if applicable),
meta_amr,Meta-analysis group description (if applicable),
meta_type,"Meta-analysis type (i.e. within studies, across studies) (if applicable)",
grain,"Set of result fields provided in the study (i.e. if A, B, C, and D are provided, the grain is con_table_pos_neg)",check_grain
low_cell_count,"If TRUE, at least one of A, B, C, or D is less than or equal to the low_cell_threshold and a correction factor was applied to A, B, C, and D",build_table
null_comparison,"If TRUE, both A and C are equal to 0 (meaning that no AMR+ observations were made)",build_table
insensible_rate_table,"If TRUE, the grain is rate_table_pos_tot and the values in the rate table do not add up to 100 where they should",polish_table
oddsci,Confidence interval (always 95%),add_CI
odds_ratio,"Final odds ratio (either copied from odds field if provided, or calculated)",build_chairs
se_log_or,Standard error of the log(odds ratio),build_chairs
pval,"Significance value (p-value, either copied from oddsig field if provided, or calculated)",build_horse
url,URL to the reference study,add_URL
html_link,HTML link to the reference study,add_HTMLink
identifier,"Unique identifier for this factor, for Analytica",add_ident
